Log Analysis Report - 2026-02-13
Log File: myapp.log
Total Lines Processed: 200
Total Error Count: 38

--- Top 5 Error Messages ---
     11 Segmentation fault
     11 Invalid input
      7 Out of memory
      7 Failed to connect
      2 Disk full

--- Critical Events ---
3:2026-02-13 22:15:44 [CRITICAL]  - 26274
5:2026-02-13 22:15:44 [CRITICAL]  - 25826
7:2026-02-13 22:15:44 [CRITICAL]  - 17337
8:2026-02-13 22:15:44 [CRITICAL]  - 19543
12:2026-02-13 22:15:44 [CRITICAL]  - 21065
22:2026-02-13 22:15:44 [CRITICAL]  - 30484
33:2026-02-13 22:15:44 [CRITICAL]  - 1588
35:2026-02-13 22:15:44 [CRITICAL]  - 4068
42:2026-02-13 22:15:44 [CRITICAL]  - 26521
48:2026-02-13 22:15:44 [CRITICAL]  - 16219
68:2026-02-13 22:15:44 [CRITICAL]  - 20752
69:2026-02-13 22:15:44 [CRITICAL]  - 1961
74:2026-02-13 22:15:44 [CRITICAL]  - 16764
78:2026-02-13 22:15:44 [CRITICAL]  - 2305
79:2026-02-13 22:15:44 [CRITICAL]  - 9448
82:2026-02-13 22:15:44 [CRITICAL]  - 22246
84:2026-02-13 22:15:44 [CRITICAL]  - 13170
86:2026-02-13 22:15:44 [CRITICAL]  - 14412
89:2026-02-13 22:15:44 [CRITICAL]  - 5712
96:2026-02-13 22:15:44 [CRITICAL]  - 31083
106:2026-02-13 22:15:44 [CRITICAL]  - 27971
108:2026-02-13 22:15:44 [CRITICAL]  - 17727
111:2026-02-13 22:15:44 [CRITICAL]  - 12397
116:2026-02-13 22:15:44 [CRITICAL]  - 6676
118:2026-02-13 22:15:44 [CRITICAL]  - 1274
119:2026-02-13 22:15:44 [CRITICAL]  - 1300
120:2026-02-13 22:15:44 [CRITICAL]  - 26216
125:2026-02-13 22:15:44 [CRITICAL]  - 7097
128:2026-02-13 22:15:44 [CRITICAL]  - 15074
130:2026-02-13 22:15:44 [CRITICAL]  - 19108
157:2026-02-13 22:15:44 [CRITICAL]  - 22340
158:2026-02-13 22:15:44 [CRITICAL]  - 11505
167:2026-02-13 22:15:44 [CRITICAL]  - 14498
185:2026-02-13 22:15:44 [CRITICAL]  - 20735
187:2026-02-13 22:15:44 [CRITICAL]  - 479
195:2026-02-13 22:15:44 [CRITICAL]  - 29155
198:2026-02-13 22:15:44 [CRITICAL]  - 4463
